date,portfolio_value,cash,positions_count,daily_return,cummax,drawdown
2023-01-03,100000.0,100000.0,0,,100000.0,0.0
2023-01-04,100000.0,100000.0,0,0.0,100000.0,0.0
2023-01-05,100000.0,100000.0,0,0.0,100000.0,0.0
2023-01-06,100000.0,100000.0,0,0.0,100000.0,0.0
2023-01-09,100000.0,100000.0,0,0.0,100000.0,0.0
2023-01-10,100000.0,100000.0,0,0.0,100000.0,0.0
2023-01-11,100000.0,100000.0,0,0.0,100000.0,0.0
2023-01-12,100000.0,100000.0,0,0.0,100000.0,0.0
2023-01-13,100000.0,100000.0,0,0.0,100000.0,0.0
2023-01-17,100000.0,100000.0,0,0.0,100000.0,0.0
2023-01-18,100000.0,100000.0,0,0.0,100000.0,0.0
2023-01-19,100000.0,100000.0,0,0.0,100000.0,0.0
2023-01-20,100000.0,100000.0,0,0.0,100000.0,0.0
2023-01-23,100000.0,100000.0,0,0.0,100000.0,0.0
2023-01-24,100000.0,100000.0,0,0.0,100000.0,0.0
2023-01-25,100000.0,100000.0,0,0.0,100000.0,0.0
2023-01-26,100000.0,100000.0,0,0.0,100000.0,0.0
2023-01-27,100000.0,100000.0,0,0.0,100000.0,0.0
2023-01-30,100000.0,100000.0,0,0.0,100000.0,0.0
2023-01-31,100000.0,100000.0,0,0.0,100000.0,0.0
2023-02-01,100000.0,100000.0,0,0.0,100000.0,0.0
2023-02-02,100000.0,100000.0,0,0.0,100000.0,0.0
2023-02-03,100000.0,100000.0,0,0.0,100000.0,0.0
2023-02-06,100000.0,100000.0,0,0.0,100000.0,0.0
2023-02-07,100000.0,100000.0,0,0.0,100000.0,0.0
2023-02-08,100000.0,100000.0,0,0.0,100000.0,0.0
2023-02-09,100000.0,100000.0,0,0.0,100000.0,0.0
2023-02-10,100000.0,100000.0,0,0.0,100000.0,0.0
2023-02-13,100000.0,100000.0,0,0.0,100000.0,0.0
2023-02-14,100000.0,100000.0,0,0.0,100000.0,0.0
2023-02-15,100000.0,100000.0,0,0.0,100000.0,0.0
2023-02-16,100000.0,100000.0,0,0.0,100000.0,0.0
2023-02-17,100000.0,100000.0,0,0.0,100000.0,0.0
2023-02-21,100000.0,100000.0,0,0.0,100000.0,0.0
2023-02-22,100000.0,100000.0,0,0.0,100000.0,0.0
2023-02-23,100000.0,100000.0,0,0.0,100000.0,0.0
2023-02-24,100000.0,100000.0,0,0.0,100000.0,0.0
2023-02-27,100000.0,100000.0,0,0.0,100000.0,0.0
2023-02-28,100000.0,100000.0,0,0.0,100000.0,0.0
2023-03-01,100000.0,100000.0,0,0.0,100000.0,0.0
2023-03-02,100000.0,100000.0,0,0.0,100000.0,0.0
2023-03-03,100000.0,100000.0,0,0.0,100000.0,0.0
2023-03-06,100000.0,100000.0,0,0.0,100000.0,0.0
2023-03-07,100000.0,100000.0,0,0.0,100000.0,0.0
2023-03-08,100000.0,100000.0,0,0.0,100000.0,0.0
2023-03-09,100000.0,100000.0,0,0.0,100000.0,0.0
2023-03-10,100000.0,100000.0,0,0.0,100000.0,0.0
2023-03-13,100000.0,100000.0,0,0.0,100000.0,0.0
2023-03-14,100000.0,100000.0,0,0.0,100000.0,0.0
2023-03-15,100000.0,100000.0,0,0.0,100000.0,0.0
2023-03-16,100000.0,100000.0,0,0.0,100000.0,0.0
2023-03-17,100000.0,100000.0,0,0.0,100000.0,0.0
2023-03-20,100000.0,100000.0,0,0.0,100000.0,0.0
2023-03-21,100000.0,100000.0,0,0.0,100000.0,0.0
2023-03-22,100000.0,100000.0,0,0.0,100000.0,0.0
2023-03-23,100000.0,100000.0,0,0.0,100000.0,0.0
2023-03-24,100000.0,100000.0,0,0.0,100000.0,0.0
2023-03-27,100000.0,100000.0,0,0.0,100000.0,0.0
2023-03-28,100000.0,100000.0,0,0.0,100000.0,0.0
2023-03-29,100000.0,100000.0,0,0.0,100000.0,0.0
2023-03-30,100000.0,100000.0,0,0.0,100000.0,0.0
2023-03-31,100000.0,100000.0,0,0.0,100000.0,0.0
2023-04-03,100000.0,100000.0,0,0.0,100000.0,0.0
2023-04-04,100000.0,100000.0,0,0.0,100000.0,0.0
2023-04-05,100000.0,100000.0,0,0.0,100000.0,0.0
2023-04-06,100000.0,100000.0,0,0.0,100000.0,0.0
2023-04-10,100000.0,100000.0,0,0.0,100000.0,0.0
2023-04-11,100000.0,100000.0,0,0.0,100000.0,0.0
2023-04-12,100000.0,100000.0,0,0.0,100000.0,0.0
2023-04-13,100000.0,100000.0,0,0.0,100000.0,0.0
2023-04-14,100000.0,100000.0,0,0.0,100000.0,0.0
2023-04-17,100000.0,100000.0,0,0.0,100000.0,0.0
2023-04-18,100000.0,100000.0,0,0.0,100000.0,0.0
2023-04-19,100000.0,100000.0,0,0.0,100000.0,0.0
2023-04-20,100000.0,100000.0,0,0.0,100000.0,0.0
2023-04-21,100000.0,100000.0,0,0.0,100000.0,0.0
2023-04-24,100000.0,100000.0,0,0.0,100000.0,0.0
2023-04-25,100000.0,100000.0,0,0.0,100000.0,0.0
2023-04-26,100000.0,100000.0,0,0.0,100000.0,0.0
2023-04-27,100000.0,100000.0,0,0.0,100000.0,0.0
2023-04-28,100000.0,100000.0,0,0.0,100000.0,0.0
2023-05-01,100000.0,100000.0,0,0.0,100000.0,0.0
2023-05-02,100000.0,100000.0,0,0.0,100000.0,0.0
2023-05-03,100000.0,100000.0,0,0.0,100000.0,0.0
2023-05-04,100000.0,100000.0,0,0.0,100000.0,0.0
2023-05-05,100000.0,100000.0,0,0.0,100000.0,0.0
2023-05-08,100000.0,100000.0,0,0.0,100000.0,0.0
2023-05-09,100000.0,100000.0,0,0.0,100000.0,0.0
2023-05-10,100000.0,100000.0,0,0.0,100000.0,0.0
2023-05-11,100000.0,100000.0,0,0.0,100000.0,0.0
2023-05-12,100000.0,100000.0,0,0.0,100000.0,0.0
2023-05-15,100000.0,100000.0,0,0.0,100000.0,0.0
2023-05-16,100000.0,100000.0,0,0.0,100000.0,0.0
2023-05-17,100000.0,100000.0,0,0.0,100000.0,0.0
2023-05-18,100000.0,100000.0,0,0.0,100000.0,0.0
2023-05-19,100000.0,100000.0,0,0.0,100000.0,0.0
2023-05-22,100000.0,100000.0,0,0.0,100000.0,0.0
2023-05-23,100000.0,100000.0,0,0.0,100000.0,0.0
2023-05-24,100000.0,100000.0,0,0.0,100000.0,0.0
2023-05-25,100000.0,100000.0,0,0.0,100000.0,0.0
2023-05-26,100000.0,100000.0,0,0.0,100000.0,0.0
2023-05-30,100000.0,100000.0,0,0.0,100000.0,0.0
2023-05-31,100000.0,100000.0,0,0.0,100000.0,0.0
2023-06-01,100000.0,100000.0,0,0.0,100000.0,0.0
2023-06-02,100000.0,100000.0,0,0.0,100000.0,0.0
2023-06-05,100000.0,100000.0,0,0.0,100000.0,0.0
2023-06-06,100000.0,100000.0,0,0.0,100000.0,0.0
2023-06-07,100000.0,100000.0,0,0.0,100000.0,0.0
2023-06-08,100000.0,100000.0,0,0.0,100000.0,0.0
2023-06-09,100000.0,100000.0,0,0.0,100000.0,0.0
2023-06-12,100000.0,100000.0,0,0.0,100000.0,0.0
2023-06-13,100000.0,100000.0,0,0.0,100000.0,0.0
2023-06-14,100000.0,100000.0,0,0.0,100000.0,0.0
2023-06-15,100000.0,100000.0,0,0.0,100000.0,0.0
2023-06-16,100000.0,100000.0,0,0.0,100000.0,0.0
2023-06-20,100000.0,100000.0,0,0.0,100000.0,0.0
2023-06-21,100000.0,100000.0,0,0.0,100000.0,0.0
2023-06-22,100000.0,100000.0,0,0.0,100000.0,0.0
2023-06-23,100000.0,100000.0,0,0.0,100000.0,0.0
2023-06-26,100000.0,100000.0,0,0.0,100000.0,0.0
2023-06-27,100000.0,100000.0,0,0.0,100000.0,0.0
2023-06-28,100000.0,100000.0,0,0.0,100000.0,0.0
2023-06-29,100000.0,100000.0,0,0.0,100000.0,0.0
2023-06-30,100000.0,100000.0,0,0.0,100000.0,0.0
2023-07-03,100000.0,100000.0,0,0.0,100000.0,0.0
2023-07-05,100000.0,100000.0,0,0.0,100000.0,0.0
2023-07-06,100000.0,100000.0,0,0.0,100000.0,0.0
2023-07-07,100000.0,100000.0,0,0.0,100000.0,0.0
2023-07-10,100000.0,100000.0,0,0.0,100000.0,0.0
2023-07-11,100000.0,100000.0,0,0.0,100000.0,0.0
2023-07-12,100000.0,100000.0,0,0.0,100000.0,0.0
2023-07-13,100000.0,75005.1600086624,1,0.0,100000.0,0.0
2023-07-14,99723.8319438624,75005.1600086624,1,-0.0027616805613759343,100000.0,-0.002761680561375979
2023-07-17,100263.12074637439,75005.1600086624,1,0.005407822703960896,100263.12074637439,0.0
2023-07-18,100824.69870296319,100824.69870296319,0,0.005601042062209016,100824.69870296319,0.0
2023-07-19,100824.69870296319,100824.69870296319,0,0.0,100824.69870296319,0.0
2023-07-20,100824.69870296319,100824.69870296319,0,0.0,100824.69870296319,0.0
2023-07-21,100824.69870296319,100824.69870296319,0,0.0,100824.69870296319,0.0
2023-07-24,100824.69870296319,100824.69870296319,0,0.0,100824.69870296319,0.0
2023-07-25,100824.69870296319,100824.69870296319,0,0.0,100824.69870296319,0.0
2023-07-26,100824.69870296319,100824.69870296319,0,0.0,100824.69870296319,0.0
2023-07-27,100824.69870296319,100824.69870296319,0,0.0,100824.69870296319,0.0
2023-07-28,100824.69870296319,100824.69870296319,0,0.0,100824.69870296319,0.0
2023-07-31,100824.69870296319,100824.69870296319,0,0.0,100824.69870296319,0.0
2023-08-01,100824.69870296319,100824.69870296319,0,0.0,100824.69870296319,0.0
2023-08-02,100824.69870296319,100824.69870296319,0,0.0,100824.69870296319,0.0
2023-08-03,100824.69870296319,100824.69870296319,0,0.0,100824.69870296319,0.0
2023-08-04,100824.69870296319,100824.69870296319,0,0.0,100824.69870296319,0.0
2023-08-07,100824.69870296319,100824.69870296319,0,0.0,100824.69870296319,0.0
2023-08-08,100824.69870296319,75650.96986195238,1,0.0,100824.69870296319,0.0
2023-08-09,99635.45081084559,75650.96986195238,1,-0.011795204026557093,100824.69870296319,-0.011795204026557057
2023-08-10,99541.88912833358,75650.96986195238,1,-0.0009390400881472694,100824.69870296319,-0.012723167945275506
2023-08-11,98677.85262660158,75650.96986195238,1,-0.008680129634851985,100824.69870296319,-0.021292858832996517
2023-08-14,100311.23669835037,75257.45496562688,1,0.016552691695973065,100824.69870296319,-0.005092621264612029
2023-08-15,100418.31637709768,75257.45496562688,1,0.0010674744153469362,100824.69870296319,-0.004030583092172033
2023-08-16,100158.34753139468,75257.45496562688,1,-0.0025888588365368115,100824.69870296319,-0.006609007318054282
2023-08-17,100076.74938044467,75257.45496562688,1,-0.0008146914656756987,100824.69870296319,-0.007418314481871418
2023-08-18,100051.26785264738,75257.45496562688,1,-0.0002546198588088133,100824.69870296319,-0.007671045490494278
2023-08-21,102151.63288804538,76618.59137007738,1,0.020992887751221323,102151.63288804538,0.0
2023-08-22,101445.44724856058,76618.59137007738,1,-0.0069131116118207325,102151.63288804538,-0.00691311161182078
2023-08-23,102232.63493602938,76618.59137007738,1,0.007759714297873144,102232.63493602938,0.0
2023-08-24,102258.18591758778,76618.59137007738,1,0.00024992979565063855,102258.18591758778,0.0
2023-08-25,101635.72051554619,76618.59137007738,1,-0.006087193865762952,102258.18591758778,-0.006087193865762983
2023-08-28,102079.87268453819,76571.78754413169,1,0.004370040048312207,102258.18591758778,-0.0017437550984259896
2023-08-29,103141.37066546669,76571.78754413169,1,0.010398700086635904,103141.37066546669,0.0
2023-08-30,103402.79654074619,76571.78754413169,1,0.0025346364275826705,103402.79654074619,0.0
2023-08-31,103452.35852960568,76571.78754413169,1,0.0004793099463220596,103452.35852960568,0.0
2023-09-01,102991.59542444668,76571.78754413169,1,-0.00445386757448496,103452.35852960568,-0.004453867574484924
2023-09-05,103012.83627679168,103012.83627679168,0,0.0002062386960552942,103452.35852960568,-0.004248547438270526
2023-09-06,103012.83627679168,103012.83627679168,0,0.0,103452.35852960568,-0.004248547438270526
2023-09-07,103012.83627679168,103012.83627679168,0,0.0,103452.35852960568,-0.004248547438270526
2023-09-08,103012.83627679168,103012.83627679168,0,0.0,103452.35852960568,-0.004248547438270526
2023-09-11,103012.83627679168,103012.83627679168,0,0.0,103452.35852960568,-0.004248547438270526
2023-09-12,103012.83627679168,103012.83627679168,0,0.0,103452.35852960568,-0.004248547438270526
2023-09-13,103012.8362767917,51599.929168667986,2,2.220446049250313e-16,103452.35852960568,-0.004248547438270385
2023-09-14,103292.7048136376,51599.929168667986,2,0.002716831678082343,103452.35852960568,-0.0015432583484541742
2023-09-15,102234.189213176,51599.929168667986,2,-0.01024772855325451,103452.35852960568,-0.01177517200906615
2023-09-18,102707.90894737458,51513.36778799798,2,0.004633672334514172,103452.35852960568,-0.0071960619633244585
2023-09-19,102605.41288796048,51513.36778799798,2,-0.0009979373591045837,103452.35852960568,-0.00818681810335745
2023-09-20,101344.12168383038,51513.36778799798,2,-0.012292638064888117,103452.35852960568,-0.020378818576397895
2023-09-21,100407.07531306898,51513.36778799798,2,-0.009246183746944525,103452.35852960568,-0.02943657602223936
2023-09-22,100876.57018036828,51513.36778799798,2,0.0046759141807029,103452.35852960568,-0.024898304744790115
2023-09-25,101418.84658552238,50838.20806414838,2,0.005375642770016009,103452.35852960568,-0.019656506366661167
2023-09-26,100641.25967950338,50838.20806414838,2,-0.0076670848880469045,103452.35852960568,-0.027172883151792403
2023-09-27,100755.75694126988,50838.20806414838,2,0.0011376771528011087,103452.35852960568,-0.026066119967328726
2023-09-28,101165.44270987189,50838.20806414838,2,0.004066127644108741,103452.35852960568,-0.0221059804941937
2023-09-29,101485.90411990137,50838.20806414838,2,0.0031676964133742214,103452.35852960568,-0.019008309115944966
2023-10-02,102619.67021345888,51358.954736460975,2,0.01117166076796261,103452.35852960568,-0.008049002729198323
2023-10-03,101696.21897600978,51358.954736460975,2,-0.008998774168034629,103452.35852960568,-0.01697534573939496
2023-10-04,102182.05528822157,51358.954736460975,2,0.0047773291583868005,103452.35852960568,-0.012279113395182598
2023-10-05,102736.85539996307,51358.954736460975,2,0.005429525861234463,103452.35852960568,-0.00691625729768023
2023-10-06,103732.26302397987,51358.954736460975,2,0.009688904922596775,103732.26302397987,0.0
2023-10-09,103673.36999053087,51935.50446353028,2,-0.0005677407561751613,103732.26302397987,-0.0005677407561752054
2023-10-10,103886.82011202107,51935.50446353028,2,0.0020588712560389855,103886.82011202107,0.0
2023-10-11,104666.74873796948,51935.50446353028,2,0.007507483866648457,104666.74873796948,0.0
