date,ticker,action,shares,price,cost,proceeds,pnl,pnl_pct,hold_days
2022-06-23,TSLA,BUY,106,235.07,24917.42,,,,
2022-06-23,NVDA,BUY,1543,16.2011297884,24998.3432635012,,,,
2022-06-28,TSLA,SELL,106,232.6633333333,,24662.3133333298,-255.10666667019905,-1.023808510954186,5.0
2022-06-28,NVDA,SELL,1543,15.9584872899,,24623.945888315702,-374.39737518549737,-1.4976887517667474,5.0
2022-06-28,TSLA,BUY,106,232.6633333333,24662.3133333298,,,,
2022-06-28,NVDA,BUY,1556,15.9584872899,24831.406223084403,,,,
2022-07-05,TSLA,SELL,106,233.0666666667,,24705.0666666702,42.753333340402605,0.1733549191536001,7.0
2022-07-05,NVDA,SELL,1556,14.9419849709,,23249.7286147204,-1581.6776083640034,-6.36966587455527,7.0
2022-07-05,TSLA,BUY,104,233.0666666667,24238.9333333368,,,,
2022-07-05,NVDA,BUY,1636,14.9419849709,24445.0874123924,,,,
2022-07-11,TSLA,SELL,104,234.3433333333,,24371.706666663198,132.77333332639682,0.5477688786898501,6.0
2022-07-11,NVDA,SELL,1636,15.1297083854,,24752.202918514402,307.11550612200153,1.2563485699229258,6.0
2022-07-11,TSLA,BUY,104,234.3433333333,24371.706666663198,,,,
2022-07-11,NVDA,BUY,1623,15.1297083854,24555.5167095042,,,,
2022-07-18,TSLA,SELL,104,240.5466666667,,25016.8533333368,645.1466666736014,2.6471132099914136,7.0
2022-07-18,NVDA,SELL,1623,16.0773122171,,26093.4777283533,1537.9610188490988,6.263199577689332,7.0
2022-07-18,TSLA,BUY,104,240.5466666667,25016.8533333368,,,,
2022-07-18,NVDA,BUY,1562,16.0773122171,25112.761683110202,,,,
2022-07-25,TSLA,SELL,104,268.4333333333,,27917.066666663202,2900.213333326403,11.593038079899745,7.0
2022-07-25,NVDA,SELL,1562,16.9989543,,26552.3666166,1439.604933489798,5.732563194983125,7.0
2022-07-25,TSLA,BUY,97,268.4333333333,26038.033333330102,,,,
2022-07-25,NVDA,BUY,1541,16.9989543,26195.388576300003,,,,
2022-08-01,TSLA,SELL,97,297.2766666667,,28835.8366666699,2797.803333339798,10.74506395134865,7.0
2022-08-01,NVDA,SELL,1541,18.4138696103,,28375.7730694723,2180.384493172296,8.323543232891682,7.0
2022-08-01,NVDA,BUY,1490,18.4138696103,27436.665719347002,,,,
2022-08-08,NVDA,SELL,1490,17.7668229476,,26472.566191924,-964.0995274230008,-3.5139092238280356,7.0
2022-08-08,NVDA,BUY,1531,17.7668229476,27201.005932775603,,,,
2022-08-15,NVDA,SELL,1531,19.0040001314,,29095.124201173403,1894.1182683978004,6.963412577751398,7.0
2022-08-15,NVDA,BUY,1456,19.0040001314,27669.824191318403,,,,
2022-08-22,NVDA,SELL,1456,17.008939588,,24765.016040128,-2904.808151190402,-10.4981084487765,7.0
2022-08-22,NVDA,BUY,1584,17.008939588,26942.160307392,,,,
2022-08-29,NVDA,SELL,1584,15.777753577,,24991.961665968,-1950.1986414240018,-7.238464247757196,7.0
2022-08-29,NVDA,BUY,1677,15.777753577,26459.292748629,,,,
2022-09-06,NVDA,SELL,1677,13.445190299,,22547.584131423,-3911.708617206001,-14.783874438248873,8.0
2022-09-06,NVDA,BUY,1895,13.445190299,25478.635616605,,,,
2022-09-12,NVDA,SELL,1895,14.4878847404,,27454.541583058,1975.9059664529996,7.755148259058495,6.0
2022-09-12,NVDA,BUY,1793,14.4878847404,25976.7773395372,,,,
2022-09-19,NVDA,SELL,1793,13.3662098308,,23965.614226624402,-2011.1631129127964,-7.742157876726943,7.0
2022-09-19,NVDA,BUY,1905,13.3662098308,25462.629727674,,,,
2022-09-26,NVDA,SELL,1905,12.2135714999,,23266.8537073095,-2195.776020364501,-8.623524136542843,7.0
2022-09-26,NVDA,BUY,2040,12.2135714999,24915.685859796,,,,
2022-10-03,NVDA,SELL,2040,12.4972363924,,25494.362240496,578.6763806999988,2.322538436053055,7.0
2022-10-03,NVDA,BUY,2006,12.4972363924,25069.4562031544,,,,
2022-10-10,NVDA,SELL,2006,11.6562299152,,23382.3972098912,-1687.0589932631992,-6.729539642151955,7.0
2022-10-10,NVDA,BUY,2114,11.6562299152,24641.2700407328,,,,
2022-10-13,TSLA,BUY,111,221.72,24610.92,,,,
2022-10-17,NVDA,SELL,2114,11.8739726849,,25101.5782558786,460.3082151458002,1.8680377041641691,7.0
2022-10-17,NVDA,BUY,2080,11.8739726849,24697.863184592,,,,
2022-10-18,TSLA,SELL,111,220.19,,24441.09,-169.8299999999981,-0.6900595345480791,5.0
2022-10-18,TSLA,BUY,112,220.19,24661.28,,,,
2022-10-18,MSFT,BUY,106,232.7283721924,24669.2074523944,,,,
2022-10-24,NVDA,SELL,2080,12.5841337363,,26174.998171504,1477.1349869120022,5.980820996018494,7.0
2022-10-24,TSLA,SELL,112,211.25,,23660.0,-1001.2799999999988,-4.060129887824151,6.0
2022-10-24,MSFT,SELL,106,241.266624841,,25574.262233146,905.0547807516014,3.6687631027390624,6.0
2022-10-24,TSLA,BUY,118,211.25,24927.5,,,,
2022-10-24,NVDA,BUY,1991,12.5841337363,25055.0102689733,,,,
2022-10-31,TSLA,SELL,118,227.54,,26849.719999999998,1922.2199999999975,7.711242603550292,7.0
2022-10-31,NVDA,SELL,1991,13.4810741359,,26840.8186045769,1785.8083356036004,7.12754980513835,7.0
2022-10-31,TSLA,BUY,114,227.54,25939.559999999998,,,,
