date,adjopen,adjhigh,adjlow,adjclose,adjvolume,ticker
2015-01-02,0.4831428462,0.4867430164,0.4754864842,0.4831428462,113680480,NVDA
2015-01-05,0.4831428462,0.4845829143,0.4728223582,0.4749824603,197951960,NVDA
2015-01-06,0.4757024944,0.4761825171,0.4601017567,0.4605817794,197764840,NVDA
2015-01-07,0.4639419383,0.4680221312,0.4579416545,0.4592617169,321807440,NVDA
2015-01-08,0.4646619723,0.479542676,0.464421961,0.4766625398,283781360,NVDA
2015-01-09,0.4783426192,0.4821828008,0.4717423071,0.4785826306,208188000,NVDA
2015-01-12,0.4797826873,0.479902693,0.4682621425,0.4725823468,190732280,NVDA
2015-01-13,0.4761825171,0.485782971,0.4686221596,0.4717423071,236718400,NVDA
2015-01-14,0.4668220744,0.4752224717,0.4656220177,0.4737824036,155261240,NVDA
2015-01-15,0.4771425625,0.4800226987,0.4701822333,0.4704222447,188950280,NVDA
2015-01-16,0.4697022106,0.479542676,0.4682621425,0.4790626533,181512000,NVDA
2015-01-20,0.4824228122,0.485062937,0.4745024376,0.4805027214,140308760,NVDA
2015-01-21,0.4778625965,0.4884230959,0.4745024376,0.4872230391,144779760,NVDA
2015-01-22,0.4881830845,0.4969434988,0.4831428462,0.4956234364,159712400,NVDA
2015-01-23,0.4961034591,0.4979035442,0.4920232661,0.4970635045,120415560,NVDA
2015-01-26,0.4949034023,0.4973035158,0.4917832548,0.4947833966,133240320,NVDA
2015-01-27,0.4872230391,0.4877030618,0.4701822333,0.4711422787,357948840,NVDA
2015-01-28,0.4769025511,0.4788226419,0.4632219042,0.4634619156,272728560,NVDA
2015-01-29,0.4637019269,0.4773825738,0.4615418248,0.474742449,235341240,NVDA
2015-01-30,0.4713822901,0.47687855,0.4601017567,0.4609417964,298198720,NVDA
2015-02-02,0.4637019269,0.4728223582,0.4545814956,0.4709022674,259605960,NVDA
2015-02-03,0.4742624263,0.4831428462,0.4718623128,0.4826628235,183466800,NVDA
2015-02-04,0.4812227554,0.4892631356,0.4796626816,0.4838628803,181514880,NVDA
2015-02-05,0.484342903,0.4920232661,0.4838628803,0.4916632491,140447800,NVDA
2015-02-06,0.4913032321,0.4970635045,0.4874630505,0.4896231526,210522920,NVDA
2015-02-09,0.4867430164,0.490583198,0.4836228689,0.4891431299,273967720,NVDA
2015-02-10,0.4896231526,0.5030637882,0.4874630505,0.5028237768,226204520,NVDA
2015-02-11,0.5040238336,0.5040238336,0.4961034591,0.499463618,320831120,NVDA
2015-02-12,0.5280249685,0.540025536,0.524904821,0.535225309,676903520,NVDA
2015-02-13,0.5340252523,0.5361853544,0.5258648664,0.5354653204,310085960,NVDA
2015-02-17,0.534505275,0.5397855246,0.5311451161,0.5370253941,203338640,NVDA
2015-02-18,0.5364253658,0.5373854112,0.5299450593,0.5309051047,170959880,NVDA
2015-02-19,0.5376254225,0.5385854679,0.5299450593,0.5322251671,169430400,NVDA
2015-02-20,0.5318651501,0.5364253658,0.5280249685,0.5360653487,157752800,NVDA
2015-02-23,0.5359453431,0.5359453431,0.5292250253,0.5318651501,125036720,NVDA
2015-02-24,0.5338915301,0.5375054168,0.5290730145,0.5375054168,149332720,NVDA
2015-02-25,0.5353370848,0.5377463426,0.5308799579,0.5334096786,123821040,NVDA
2015-02-26,0.5338915301,0.5378668055,0.5305185692,0.5348552332,152863880,NVDA
2015-02-27,0.5334096786,0.5346143075,0.5295789586,0.5314822723,157490920,NVDA
2015-03-02,0.5300367176,0.5473833738,0.5293380329,0.5443718016,301511240,NVDA
2015-03-03,0.5403965262,0.5430467098,0.5326869012,0.5343733817,160345520,NVDA
2015-03-04,0.5324459754,0.5416011551,0.5302776434,0.5403965262,226839880,NVDA
2015-03-05,0.5403965262,0.5517200379,0.5389509715,0.5507563348,323057000,NVDA
2015-03-06,0.5476242996,0.5502744832,0.5426853211,0.5432876356,257392280,NVDA
2015-03-09,0.5435285613,0.5488289285,0.5423239324,0.5447331902,222387720,NVDA
2015-03-10,0.5471424481,0.5577190898,0.5461787449,0.5540088328,527210680,NVDA
2015-03-11,0.5541292957,0.5613570691,0.5496721688,0.5512381863,262118600,NVDA
2015-03-12,0.5459378192,0.5500335574,0.5358189364,0.5461787449,406970400,NVDA
2015-03-13,0.5435285613,0.548347077,0.5360598621,0.5469015223,359287520,NVDA
2015-03-16,0.5512381863,0.5567794793,0.5476242996,0.5534065184,236954560,NVDA
2015-03-17,0.5522018895,0.560393366,0.548347077,0.5601524402,299942240,NVDA
2015-03-18,0.5601524402,0.5630435496,0.5459378192,0.5509972605,413843360,NVDA
2015-03-19,0.5529246668,0.5613570691,0.5488289285,0.5593092,310754360,NVDA
2015-03-20,0.5640072527,0.5687053054,0.5587068855,0.5654528074,462084760,NVDA
